"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected IF Range from: 0.000 Selected Category Scheme: WoS",,,
Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor
1082,EUROPEAN PHYSICAL JOURNAL C,EUR PHYS J C,4.843
1083,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,EUR J MED CHEM,4.833
1084,BIOLOGY AND FERTILITY OF SOILS,BIOL FERT SOILS,4.829
1084,COMPOSITE STRUCTURES,COMPOS STRUCT,4.829
1086,MOLECULAR & CELLULAR PROTEOMICS,MOL CELL PROTEOMICS,4.828
1087,JOURNAL OF INDUSTRIAL ECOLOGY,J IND ECOL,4.826
1088,BIOCHEMICAL PHARMACOLOGY,BIOCHEM PHARMACOL,4.825
1089,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,4.821
1090,BUILDING AND ENVIRONMENT,BUILD ENVIRON,4.820
1091,CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,CRIT REV CL LAB SCI,4.817
1092,ENVIRONMENTAL SCIENCE & POLICY,ENVIRON SCI POLICY,4.816
1093,Translational Lung Cancer Research,TRANSL LUNG CANCER R,4.806
1094,JOURNAL OF CLIMATE,J CLIMATE,4.805
1095,Clinical and Translational Gastroenterology,CLIN TRANSL GASTROEN,4.803
1096,IEEE Transactions on Control of Network Systems,IEEE T CONTROL NETW,4.802
1097,IEEE Power & Energy Magazine,IEEE POWER ENERGY M,4.800
1097,NEW MEDIA & SOCIETY,NEW MEDIA SOC,4.800
1099,CLIMATE POLICY,CLIM POLICY,4.797
1100,Cryosphere,CRYOSPHERE,4.790
1101,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,INT J BIOL MACROMOL,4.784
1102,Food and Energy Security,FOOD ENERGY SECUR,4.781
1103,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,4.779
1104,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,IEEE T SOFTWARE ENG,4.778
1104,NUCLEAR DATA SHEETS,NUCL DATA SHEETS,4.778
1106,Virulence,VIRULENCE,4.775
1107,ENDOCRINE-RELATED CANCER,ENDOCR-RELAT CANCER,4.774
1108,Pharmaceutics,PHARMACEUTICS,4.773
1109,CRITICAL REVIEWS IN TOXICOLOGY,CRIT REV TOXICOL,4.771
1110,COMPUTERS IN INDUSTRY,COMPUT IND,4.769
1111,REVIEW OF ECONOMIC STUDIES,REV ECON STUD,4.767
1112,AMERICAN JOURNAL OF MEDICINE,AM J MED,4.760
1112,Polymer Chemistry,POLYM CHEM-UK,4.760
1112,Vaccines,VACCINES-BASEL,4.760
1115,ANNUAL REVIEWS IN CONTROL,ANNU REV CONTROL,4.759
1116,DIABETES-METABOLISM RESEARCH AND REVIEWS,DIABETES-METAB RES,4.758
1117,INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,INFECT DIS CLIN N AM,4.757
1118,IUCrJ,IUCRJ,4.756
1118,RESPIROLOGY,RESPIROLOGY,4.756
1120,JOURNAL OF PEASANT STUDIES,J PEASANT STUD,4.754
1121,CANCER SCIENCE,CANCER SCI,4.751
1122,JOURNAL OF MOLECULAR MEDICINE-JMM,J MOL MED,4.746
1123,JOURNAL OF ORGANIC CHEMISTRY,J ORG CHEM,4.745
1124,EXPERIMENTAL AND MOLECULAR MEDICINE,EXP MOL MED,4.743
1124,JOURNAL OF LIPID RESEARCH,J LIPID RES,4.743
1124,TRANSPLANTATION,TRANSPLANTATION,4.743
1127,CLINICAL AND EXPERIMENTAL ALLERGY,CLIN EXP ALLERGY,4.741
1128,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,BBA-MOL CELL RES,4.739
1128,EXERCISE AND SPORT SCIENCES REVIEWS,EXERC SPORT SCI REV,4.739
1128,FEBS Journal,FEBS J,4.739
1131,American Journal of Cancer Research,AM J CANCER RES,4.737
1132,THROMBOSIS AND HAEMOSTASIS,THROMB HAEMOSTASIS,4.733
1133,Operations Management Research,OPER MANAGE RES,4.727
1134,Computational and Structural Biotechnology Journal,COMPUT STRUCT BIOTEC,4.720
1135,EPIDEMIOLOGY,EPIDEMIOLOGY,4.719
1135,EPIDEMIOLOGY,EPIDEMIOLOGY,4.719
1137,JOURNAL OF IMMUNOLOGY,J IMMUNOL,4.718
1138,Nanomedicine,NANOMEDICINE-UK,4.717
1139,Frontiers in Immunology,FRONT IMMUNOL,4.716
1139,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,J BONE JOINT SURG AM,4.716
1141,ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,ANTIMICROB AGENTS CH,4.715
1142,SEPARATION AND PURIFICATION REVIEWS,SEP PURIF REV,4.714
1143,Advanced Materials Interfaces,ADV MATER INTERFACES,4.713
1144,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,J GERONTOL A-BIOL,4.711
1144,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,J GERONTOL A-BIOL,4.711
1146,INDOOR AIR,INDOOR AIR,4.710
1147,EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,EUR J PHARM BIOPHARM,4.708
1148,MAMMAL REVIEW,MAMMAL REV,4.706
1149,DRUG METABOLISM REVIEWS,DRUG METAB REV,4.702
1150,JOURNAL OF CONSUMER RESEARCH,J CONSUM RES,4.701
1151,Stem Cell Reviews and Reports,STEM CELL REV REP,4.697
1152,EUROPEAN JOURNAL OF IMMUNOLOGY,EUR J IMMUNOL,4.695
1153,ACTA PSYCHIATRICA SCANDINAVICA,ACTA PSYCHIAT SCAND,4.694
1153,ACTA PSYCHIATRICA SCANDINAVICA,ACTA PSYCHIAT SCAND,4.694
1153,Biomolecules,BIOMOLECULES,4.694
1153,INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,INT J PROJ MANAG,4.694
1157,JOURNAL OF FINANCIAL ECONOMICS,J FINANC ECON,4.693
1158,JOURNAL OF INTERACTIVE MARKETING,J INTERACT MARK,4.691
1159,GigaScience,GIGASCIENCE,4.688
1160,Personality Disorders-Theory Research and Treatment,PERSONAL DISORD,4.687
1161,JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA,J PHYS CHEM REF DATA,4.684
1162,IEEE Transactions on Network and Service Management,IEEE T NETW SERV MAN,4.682
1163,CANCER GENE THERAPY,CANCER GENE THER,4.681
1163,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,IEEE J SEL TOP QUANT,4.681
1165,CLINICAL PHARMACOKINETICS,CLIN PHARMACOKINET,4.680
1165,HARVARD LAW REVIEW,HARVARD LAW REV,4.680
1167,SOIL & TILLAGE RESEARCH,SOIL TILL RES,4.675
1168,BONE MARROW TRANSPLANTATION,BONE MARROW TRANSPL,4.674
1168,SOLAR ENERGY,SOL ENERGY,4.674
1170,Journal of Molecular Cell Biology,J MOL CELL BIOL,4.671
1171,Sustainability Science,SUSTAIN SCI,4.669
1172,Advances in Cancer Research,ADV CANCER RES,4.667
1173,NEURAL COMPUTING & APPLICATIONS,NEURAL COMPUT APPL,4.664
1174,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,J THROMB HAEMOST,4.662
1175,EPMA Journal,EPMA J,4.661
1176,Journal of the American Heart Association,J AM HEART ASSOC,4.660
1177,PUBLIC ADMINISTRATION REVIEW,PUBLIC ADMIN REV,4.659
1178,JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,J CELL MOL MED,4.658
1179,Annals of Clinical and Translational Neurology,ANN CLIN TRANSL NEUR,4.656
1180,MRS BULLETIN,MRS BULL,4.655
1181,PEDIATRIC ALLERGY AND IMMUNOLOGY,PEDIAT ALLERG IMM-UK,4.654
1182,MOLECULAR NUTRITION & FOOD RESEARCH,MOL NUTR FOOD RES,4.653
1183,JOURNAL OF CLINICAL EPIDEMIOLOGY,J CLIN EPIDEMIOL,4.650
1183,Journal of Genetics and Genomics,J GENET GENOMICS,4.650
1185,AGE,AGE,4.648
1186,CURRENT OPINION IN NEUROLOGY,CURR OPIN NEUROL,4.647
1187,QUATERNARY SCIENCE REVIEWS,QUATERNARY SCI REV,4.641
1188,EARTH AND PLANETARY SCIENCE LETTERS,EARTH PLANET SC LETT,4.637
1189,ONCOLOGY RESEARCH,ONCOL RES,4.634
1190,APPLIED CATALYSIS A-GENERAL,APPL CATAL A-GEN,4.630
1191,Stem Cell Research & Therapy,STEM CELL RES THER,4.627
1192,Sustainable Cities and Society,SUSTAIN CITIES SOC,4.624
1193,EXPERT OPINION ON THERAPEUTIC TARGETS,EXPERT OPIN THER TAR,4.621
1194,MEDICAL EDUCATION,MED EDUC,4.619
1195,Environmental Chemistry Letters,ENVIRON CHEM LETT,4.617
1196,INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,INT J ANTIMICROB AG,4.615
1197,IEEE TRANSACTIONS ON ENERGY CONVERSION,IEEE T ENERGY CONVER,4.614
1198,ULTRASCHALL IN DER MEDIZIN,ULTRASCHALL MED,4.613
1199,RUSSIAN CHEMICAL REVIEWS,RUSS CHEM REV+,4.612
1200,JOURNAL OF GENERAL INTERNAL MEDICINE,J GEN INTERN MED,4.606
1201,NEUROSURGERY,NEUROSURGERY,4.605
1202,Journal of Knowledge Management,J KNOWL MANAG,4.604
1202,NONLINEAR DYNAMICS,NONLINEAR DYNAM,4.604
1204,Cell Discovery,CELL DISCOV,4.600
1204,PROSTATE CANCER AND PROSTATIC DISEASES,PROSTATE CANCER P D,4.600
1206,Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,BBA-GENE REGUL MECH,4.599
1206,LUNG CANCER,LUNG CANCER,4.599
1208,MOLECULAR NEUROBIOLOGY,MOL NEUROBIOL,4.586
1209,GEOPHYSICAL RESEARCH LETTERS,GEOPHYS RES LETT,4.578
1210,STRUCTURE,STRUCTURE,4.576
1211,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,4.574
1211,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,4.574
1213,RESUSCITATION,RESUSCITATION,4.572
1214,SLEEP,SLEEP,4.571
1215,SCHIZOPHRENIA RESEARCH,SCHIZOPHR RES,4.569
1215,SCHIZOPHRENIA RESEARCH,SCHIZOPHR RES,4.569
1217,Current Neuropharmacology,CURR NEUROPHARMACOL,4.568
1217,Engineering,ENGINEERING-PRC,4.568
1219,ACCOUNTING REVIEW,ACCOUNT REV,4.562
1219,EXPERIMENTAL NEUROLOGY,EXP NEUROL,4.562
1221,International Journal of Precision Engineering and Manufacturing-Green Technology,INT J PR ENG MAN-GT,4.561
1221,JOURNAL OF MOLECULAR LIQUIDS,J MOL LIQ,4.561
1223,ECOSYSTEMS,ECOSYSTEMS,4.555
1224,HUMAN BRAIN MAPPING,HUM BRAIN MAPP,4.554
1225,ENVIRONMENTAL MODELLING & SOFTWARE,ENVIRON MODELL SOFTW,4.552
1226,Journal of Neural Engineering,J NEURAL ENG,4.551
1227,Emotion Review,EMOT REV,4.547
1228,IEEE Transactions on Computational Imaging,IEEE T COMPUT IMAG,4.546
1229,HUMAN MOLECULAR GENETICS,HUM MOL GENET,4.544
1230,SCRIPTA MATERIALIA,SCRIPTA MATER,4.539
1231,Exposure and Health,EXPOS HEALTH,4.532
1231,Physical Review Applied,PHYS REV APPL,4.532
1233,BIOINFORMATICS,BIOINFORMATICS,4.531
1233,Expert Review of Vaccines,EXPERT REV VACCINES,4.531
1235,ARTHRITIS CARE & RESEARCH,ARTHRIT CARE RES,4.530
1236,INTERNATIONAL JOURNAL OF DRUG POLICY,INT J DRUG POLICY,4.528
1236,JOURNAL OF GEODESY,J GEODESY,4.528
1238,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ECOTOX ENVIRON SAFE,4.527
1239,Implementation Science,IMPLEMENT SCI,4.525
1239,Implementation Science,IMPLEMENT SCI,4.525
1241,BJU INTERNATIONAL,BJU INT,4.524
1242,Journal of Magnesium and Alloys,J MAGNES ALLOY,4.523
1243,JOURNAL OF CELLULAR PHYSIOLOGY,J CELL PHYSIOL,4.522
1244,Antioxidants,ANTIOXIDANTS-BASEL,4.520
1245,JOURNAL OF CELL SCIENCE,J CELL SCI,4.517
1246,INTERNATIONAL JOURNAL OF OBESITY,INT J OBESITY,4.514
1247,ACS Biomaterials Science & Engineering,ACS BIOMATER SCI ENG,4.511
1247,AGE AND AGEING,AGE AGEING,4.511
1249,INTERNATIONAL ORGANIZATION,INT ORGAN,4.508
1250,FUEL PROCESSING TECHNOLOGY,FUEL PROCESS TECHNOL,4.507
1251,European Review of Social Psychology,EUR REV SOC PSYCHOL,4.500
1251,INTERNATIONAL SECURITY,INT SECURITY,4.500
1251,Solid State Physics,SOLID STATE PHYS,4.500
1251,THEORETICAL LINGUISTICS,THEOR LINGUIST,4.500
1255,AIDS,AIDS,4.499
1256,ChemCatChem,CHEMCATCHEM,4.495
1256,ENERGY AND BUILDINGS,ENERG BUILDINGS,4.495
1258,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,IEEE T BIO-MED ENG,4.491
1259,ECOLOGICAL INDICATORS,ECOL INDIC,4.490
1259,JOURNAL OF NUTRITIONAL BIOCHEMISTRY,J NUTR BIOCHEM,4.490
1261,Diabetes Technology & Therapeutics,DIABETES TECHNOL THE,4.488
1262,PLoS Neglected Tropical Diseases,PLOS NEGLECT TROP D,4.487
1263,International Journal of Health Policy and Management,INT J HEALTH POLICY,4.485
1263,International Journal of Health Policy and Management,INT J HEALTH POLICY,4.485
1265,MOLECULAR CANCER RESEARCH,MOL CANCER RES,4.484
1266,AMERICAN JOURNAL OF OPHTHALMOLOGY,AM J OPHTHALMOL,4.483
1266,ARTIFICIAL INTELLIGENCE,ARTIF INTELL,4.483
1266,CURRENT OPINION IN PSYCHIATRY,CURR OPIN PSYCHIATR,4.483
1266,CURRENT OPINION IN PSYCHIATRY,CURR OPIN PSYCHIATR,4.483
1270,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,CURR DIR PSYCHOL SCI,4.481
1270,IEEE Circuits and Systems Magazine,IEEE CIRC SYST MAG,4.481
1272,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,MED SCI SPORT EXER,4.478
1273,BIOELECTROCHEMISTRY,BIOELECTROCHEMISTRY,4.474
1273,IEEE TRANSACTIONS ON MOBILE COMPUTING,IEEE T MOBILE COMPUT,4.474
1275,AMERICAN JOURNAL OF EPIDEMIOLOGY,AM J EPIDEMIOL,4.473
1276,Advances In Atomic Molecular and Optical Physics,ADV ATOM MOL OPT PHY,4.471
1276,Advances in the Study of Behavior,ADV STUD BEHAV,4.471
1276,International Journal of Nanomedicine,INT J NANOMED,4.471
1279,Deutsches Arzteblatt International,DTSCH ARZTEBL INT,4.469
1280,EUROPEAN NEUROPSYCHOPHARMACOLOGY,EUR NEUROPSYCHOPHARM,4.468
1281,Cancer Biology & Medicine,CANCER BIOL MED,4.467
1282,International Journal of Stroke,INT J STROKE,4.466
1283,International Journal of Hospitality Management,INT J HOSP MANAG,4.465
1284,IEEE INTELLIGENT SYSTEMS,IEEE INTELL SYST,4.464
1285,Current Opinion in Chemical Engineering,CURR OPIN CHEM ENG,4.463
1285,IEEE Systems Journal,IEEE SYST J,4.463
1287,Artificial Cells Nanomedicine and Biotechnology,ARTIF CELL NANOMED B,4.462
1287,TRENDS IN CARDIOVASCULAR MEDICINE,TRENDS CARDIOVAS MED,4.462
1289,AMERICAN JOURNAL OF SOCIOLOGY,AM J SOCIOL,4.458
1290,EMPIRICAL SOFTWARE ENGINEERING,EMPIR SOFTW ENG,4.457
1291,ALDRICHIMICA ACTA,ALDRICHIM ACTA,4.455
1291,Therapeutic Advances in Chronic Disease,THER ADV CHRONIC DIS,4.455
1293,HUMAN MUTATION,HUM MUTAT,4.453
1294,JOURNAL OF LABOR ECONOMICS,J LABOR ECON,4.452
1295,BIOLOGICAL CONSERVATION,BIOL CONSERV,4.451
1296,JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,J AM COLL SURGEONS,4.450
1297,EUROPEAN JOURNAL OF NUTRITION,EUR J NUTR,4.449
1298,mSphere,MSPHERE,4.447
1299,BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,BBA-BIOENERGETICS,4.441
1300,DENTAL MATERIALS,DENT MATER,4.440
1300,Journal of Pharmaceutical Analysis,J PHARM ANAL,4.440
1302,CEPHALALGIA,CEPHALALGIA,4.438
1303,Wiley Interdisciplinary Reviews-Water,WIRES WATER,4.436
1304,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,AM J PREV MED,4.435
1304,IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,IEEE T ANTENN PROPAG,4.435
1306,BRITISH JOURNAL OF GENERAL PRACTICE,BRIT J GEN PRACT,4.434
1307,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,ARTHROSCOPY,4.433
1308,BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN,B CHEM SOC JPN,4.431
1309,Environmental Health,ENVIRON HEALTH-GLOB,4.430
1310,PLoS Computational Biology,PLOS COMPUT BIOL,4.428
1311,Child Development Perspectives,CHILD DEV PERSPECT,4.427
1312,JOURNAL OF MOLECULAR DIAGNOSTICS,J MOL DIAGN,4.426
1312,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,STRUCT EQU MODELING,4.426
1312,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,STRUCT EQU MODELING,4.426
1315,CANCER CYTOPATHOLOGY,CANCER CYTOPATHOL,4.425
1316,Circulation-Cardiovascular Quality and Outcomes,CIRC-CARDIOVASC QUAL,4.424
1317,npj Genomic Medicine,NPJ GENOM MED,4.422
1318,Expert Opinion on Drug Discovery,EXPERT OPIN DRUG DIS,4.421
1319,INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,INT J ELEC POWER,4.418
1320,JOURNAL OF NUTRITION,J NUTR,4.416
1321,IEEE TRANSACTIONS ON POWER DELIVERY,IEEE T POWER DELIVER,4.415
1322,EXPERT REVIEWS IN MOLECULAR MEDICINE,EXPERT REV MOL MED,4.407
1323,JOURNAL OF HYDROLOGY,J HYDROL,4.405
1323,mAbs,MABS-AUSTIN,4.405
1325,Epigenomics,EPIGENOMICS-UK,4.404
1326,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,BBA-MOL CELL BIOL L,4.402
1326,Microbial Cell Factories,MICROB CELL FACT,4.402
1328,Evolution Medicine and Public Health,EVOL MED PUBLIC HLTH,4.400
1329,CLINICAL TOXICOLOGY,CLIN TOXICOL,4.398
1329,NEUROBIOLOGY OF AGING,NEUROBIOL AGING,4.398
1331,BIOESSAYS,BIOESSAYS,4.396
1331,MOLECULAR PHARMACEUTICS,MOL PHARMACEUT,4.396
1333,GYNECOLOGIC ONCOLOGY,GYNECOL ONCOL,4.393
1333,IEEE Cloud Computing,IEEE CLOUD COMPUT,4.393
1335,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,ROBOT CIM-INT MANUF,4.392
1336,FOREIGN AFFAIRS,FOREIGN AFF,4.390
1337,EUROPEAN JOURNAL OF NEUROLOGY,EUR J NEUROL,4.387
1338,PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,PROCESS SAF ENVIRON,4.384
1339,APL Photonics,APL PHOTONICS,4.383
1340,Current HIV/AIDS Reports,CURR HIV-AIDS REP,4.382
1341,JOURNAL OF ENDOCRINOLOGY,J ENDOCRINOL,4.381
1342,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,INT J HYG ENVIR HEAL,4.379
1342,MOLECULAR PLANT PATHOLOGY,MOL PLANT PATHOL,4.379
1344,ECOLOGICAL APPLICATIONS,ECOL APPL,4.378
1345,Journal of Environmental Informatics,J ENVIRON INFORM,4.375
1346,ACS Chemical Biology,ACS CHEM BIOL,4.374
1346,IEEE TRANSACTIONS ON BROADCASTING,IEEE T BROADCAST,4.374
1348,MIS QUARTERLY,MIS QUART,4.373
1348,MIS QUARTERLY,MIS QUART,4.373
1350,Carbon Balance and Management,CARBON BAL MANAGE,4.372
1351,FORBES,FORBES,4.368
1351,PHYSICAL REVIEW D,PHYS REV D,4.368
1353,NEUROPHARMACOLOGY,NEUROPHARMACOLOGY,4.367
1354,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,4.364
1355,BONE,BONE,4.360
1355,PARKINSONISM & RELATED DISORDERS,PARKINSONISM RELAT D,4.360
1357,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,J CONSULT CLIN PSYCH,4.358
1358,JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,J CLIN CHILD ADOLESC,4.356
1359,AMERICAN JOURNAL OF POLITICAL SCIENCE,AM J POLIT SCI,4.354
1360,Earth System Dynamics,EARTH SYST DYNAM,4.351
1361,BIOCONJUGATE CHEMISTRY,BIOCONJUGATE CHEM,4.349
1361,LANDSCAPE ECOLOGY,LANDSCAPE ECOL,4.349
1363,INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,INT J HEAT MASS TRAN,4.346
1364,Journal of Field Robotics,J FIELD ROBOT,4.345
1365,Technological and Economic Development of Economy,TECHNOL ECON DEV ECO,4.344
1366,ISA TRANSACTIONS,ISA T,4.343
1367,AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,AM J RESP CELL MOL,4.340
1368,POLITICAL COMMUNICATION,POLIT COMMUN,4.339
1369,GEODERMA,GEODERMA,4.336
1370,IMA Fungus,IMA FUNGUS,4.333
1371,BIOCHEMICAL JOURNAL,BIOCHEM J,4.331
1372,Progress in Physical Geography-Earth and Environment,PROG PHYS GEOG,4.329
1373,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,BBA-MOL BASIS DIS,4.328
1374,CRITICAL REVIEWS IN ANALYTICAL CHEMISTRY,CRIT REV ANAL CHEM,4.325
1374,LIMNOLOGY AND OCEANOGRAPHY,LIMNOL OCEANOGR,4.325
1376,JOURNAL OF VIROLOGY,J VIROL,4.324
1377,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,PROG NEURO-PSYCHOPH,4.315
1378,AUTOMATION IN CONSTRUCTION,AUTOMAT CONSTR,4.313
1379,GOVERNMENT INFORMATION QUARTERLY,GOV INFORM Q,4.311
1380,BEHAVIOUR RESEARCH AND THERAPY,BEHAV RES THER,4.309
1380,Journal of Physical Chemistry C,J PHYS CHEM C,4.309
1382,COMPUTERS IN HUMAN BEHAVIOR,COMPUT HUM BEHAV,4.306
1383,American Economic Journal-Applied Economics,AM ECON J-APPL ECON,4.304
1383,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,4.304
1385,Bone & Joint Journal,BONE JOINT J,4.301
1385,JMIR mHealth and uHealth,JMIR MHEALTH UHEALTH,4.301
1387,CYTOTHERAPY,CYTOTHERAPY,4.297
1388,APL Materials,APL MATER,4.296
1388,SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL,SUPPLY CHAIN MANAG,4.296
1390,Annals of the New York Academy of Sciences,ANN NY ACAD SCI,4.295
1391,BRITISH JOURNAL OF POLITICAL SCIENCE,BRIT J POLIT SCI,4.292
1391,EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,4.292
1391,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,4.292
1391,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,4.292
1395,BIOCHEMICAL SOCIETY TRANSACTIONS,BIOCHEM SOC T,4.291
1396,Journal of Cystic Fibrosis,J CYST FIBROS,4.290
1397,CELLULAR MICROBIOLOGY,CELL MICROBIOL,4.288
1398,Cognitive Computation,COGN COMPUT,4.287
1398,JOURNAL OF INHERITED METABOLIC DISEASE,J INHERIT METAB DIS,4.287
1400,ECOLOGY,ECOLOGY,4.285
1401,ECOLOGICAL ECONOMICS,ECOL ECON,4.281
1401,ECOLOGICAL ECONOMICS,ECOL ECON,4.281
1401,ECONOMETRICA,ECONOMETRICA,4.281
1401,ECONOMETRICA,ECONOMETRICA,4.281
1405,Anthropocene,ANTHROPOCENE,4.278
1406,CORTEX,CORTEX,4.275
1406,LAND DEGRADATION & DEVELOPMENT,LAND DEGRAD DEV,4.275
1408,Current Opinion in HIV and AIDS,CURR OPIN HIV AIDS,4.268
1409,Agronomy for Sustainable Development,AGRON SUSTAIN DEV,4.263
1410,BIOTECHNOLOGY AND BIOENGINEERING,BIOTECHNOL BIOENG,4.260
1411,Frontiers in Microbiology,FRONT MICROBIOL,4.259
1412,Current Opinion in Environmental Sustainability,CURR OPIN ENV SUST,4.258
1412,GEOCHIMICA ET COSMOCHIMICA ACTA,GEOCHIM COSMOCHIM AC,4.258
1412,JOURNAL OF GENERAL PHYSIOLOGY,J GEN PHYSIOL,4.258
1415,JOURNAL OF NATURAL PRODUCTS,J NAT PROD,4.257
1415,PHYTOCHEMISTRY REVIEWS,PHYTOCHEM REV,4.257
1417,GEOSTANDARDS AND GEOANALYTICAL RESEARCH,GEOSTAND GEOANAL RES,4.256
1418,ATHEROSCLEROSIS,ATHEROSCLEROSIS,4.255
1419,JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE,J GEOPHYS RES-EARTH,4.253
1419,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,4.253
1419,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,4.253
1422,IEEE Transactions on Biomedical Circuits and Systems,IEEE T BIOMED CIRC S,4.252
1422,Landslides,LANDSLIDES,4.252
1424,IEEE ROBOTICS & AUTOMATION MAGAZINE,IEEE ROBOT AUTOM MAG,4.250
1424,Immunity & Ageing,IMMUN AGEING,4.250
1426,FOOD CONTROL,FOOD CONTROL,4.248
1427,Neuroscience Bulletin,NEUROSCI BULL,4.246
1428,Aging and Disease,AGING DIS,4.232
1428,Clinical and Translational Allergy,CLIN TRANSL ALLERGY,4.232
1430,Biofuels Bioproducts & Biorefining-Biofpr,BIOFUEL BIOPROD BIOR,4.224
1430,Elements,ELEMENTS,4.224
1432,ADDICTION BIOLOGY,ADDICT BIOL,4.223
1433,JOURNAL OF PSYCHOPHARMACOLOGY,J PSYCHOPHARMACOL,4.221
1434,MANAGEMENT SCIENCE,MANAGE SCI,4.219
1434,MANAGEMENT SCIENCE,MANAGE SCI,4.219
1436,Microbiology Spectrum,MICROBIOL SPECTR,4.218
1437,Food Engineering Reviews,FOOD ENG REV,4.217
1437,IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,4.217
1439,ARCHIVOS DE BRONCONEUMOLOGIA,ARCH BRONCONEUMOL,4.214
1440,INTERNATIONAL JOURNAL OF PHARMACEUTICS,INT J PHARMACEUT,4.213
1441,JOURNAL OF HYPERTENSION,J HYPERTENS,4.209
1442,INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,INT J NEUROPSYCHOPH,4.207
1443,JOURNAL OF NEUROLOGY,J NEUROL,4.204
1444,JOURNAL OF MARKETING RESEARCH,J MARKETING RES,4.200
1444,JOURNAL OF SECOND LANGUAGE WRITING,J SECOND LANG WRIT,4.200
