cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169933.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169936.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169945.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinform_Chem/PMC3810201.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinform_Chem/PMC5391158.nxml , skipping..
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC2775695.nxml
surname | Desai
given-names | Ashvini
surname | Madar
given-names | Inamul Hasan
surname | Asangani
given-names | Amjad Hussain
surname | Ssadh
given-names | Hussain Al
surname | Tayubi
given-names | Iftikhar Aslam
publication | /u/scratch/n/nikodm/pmcOA/Bioinformation/PMC5450249.nxml
surname | Polley
given-names | Soumitra
surname | Seal
given-names | Soham
surname | Mahapa
given-names | Avisek
surname | Jana
given-names | Biswanath
surname | Biswas
given-names | Anindya
surname | Mandal
given-names | Sukhendu
surname | Sinha
given-names | Debabrata
surname | Sau
given-names | Keya
surname | Sau
given-names | Subrata
publication | /u/scratch/n/nikodm/pmcOA/Bioinformation/PMC5609289.nxml
surname | Jain
given-names | Priyanka
surname | Sharma
given-names | Vinay
surname | Dubey
given-names | Himanshu
surname | Singh
given-names | Pankaj Kumar
surname | Kapoor
given-names | Ritu
surname | Kumari
given-names | Mandeeep
surname | Singh
given-names | Jyoti
surname | Pawar
given-names | Deepak V.
surname | Bisht
given-names | Deepak
surname | Solanke
given-names | Amolkumar U.
surname | Mondal
given-names | T.K.
surname | Sharma
given-names | T.R.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformation/PMC5680712.nxml
surname | Singh
given-names | Pankaj Kumar
surname | Patel
given-names | Anju
surname | Ganguli
given-names | Sayak
surname | Pal
given-names | Amita
publication | /u/scratch/n/nikodm/pmcOA/Bioinformation/PMC5953860.nxml
surname | Mishra
given-names | Pragya
surname | Singh
given-names | Nisha
surname | Jain
given-names | Ajay
surname | Jain
given-names | Neha
surname | Mishra
given-names | Vagish
surname | G
given-names | Pushplatha
surname | Sandhya
given-names | Kiran P.
surname | Singh
given-names | Nagendra Kumar
surname | Rai
given-names | Vandna
publication | /u/scratch/n/nikodm/pmcOA/Bioinformation/PMC6016759.nxml
surname | Akond
given-names | Zobaer
surname | Alam
given-names | Munirul
surname | Mollah
given-names | Md. Nurul Haque
publication | /u/scratch/n/nikodm/pmcOA/Bioinformation/PMC6077823.nxml
surname | Vijayaraghavan
given-names | Bhooma
surname | Danabal
given-names | Kavitha
surname | Padmanabhan
given-names | Giri
surname | Ramanathan
given-names | Kumaresan
publication | /u/scratch/n/nikodm/pmcOA/Bioinformation/PMC6143353.nxml
surname | Das
given-names | Ipsita
surname | Mishra
given-names | Hrishikesh
surname | Khodiar
given-names | Prafulla K.
surname | Patra
given-names | Pradeep K.
publication | /u/scratch/n/nikodm/pmcOA/Bioinformation/PMC6143358.nxml
surname | Jaramillo
given-names | Luis
surname | Tarazona
given-names | David
surname | Levano
given-names | Kelly
surname | Galarza
given-names | Marco
surname | Caceres
given-names | Omar
surname | Becker
given-names | Maximilian
surname | Guio
given-names | Heinner
publication | /u/scratch/n/nikodm/pmcOA/Bioinformation/PMC6563660.nxml
surname | Goad
given-names | Blue
surname | Harris
given-names | Laura K
publication | /u/scratch/n/nikodm/pmcOA/Bioinformation/PMC6563668.nxml
surname | Mobeen
given-names | Fauzul
surname | Sharma
given-names | Vikas
surname | Tulika
given-names | Prakash
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC2288550.nxml
surname | Zhang
given-names | Wei
surname | Ratain
given-names | Mark J.
surname | Dolan
given-names | M. Eileen
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC2735942.nxml
surname | Engelmann
given-names | Julia C.
surname | Schwarz
given-names | Roland
surname | Blenk
given-names | Steffen
surname | Friedrich
given-names | Torben
surname | Seibel
given-names | Philipp N.
surname | Dandekar
given-names | Thomas
surname | Müller
given-names | Tobias
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC2735945.nxml
surname | Hirakawa
given-names | Akihiro
surname | Sato
given-names | Yasunori
surname | Hamada
given-names | Chikuma
surname | Yoshimura
given-names | Isao
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC2735965.nxml
surname | Xu
given-names | Zhenkang
surname | Gutierrez
given-names | Laura
surname | Hitchens
given-names | Matthew
surname | Scherer
given-names | Steve
surname | Sater
given-names | Amy K.
surname | Wells
given-names | Dan E.
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC2735966.nxml
surname | Hecker
given-names | Laura A.
surname | Alcon
given-names | Timothy C.
surname | Honavar
given-names | Vasant G.
surname | Greenlee
given-names | M. Heather West
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC2735967.nxml
surname | Xin
given-names | Yurong
surname | Quarta
given-names | Giulio
surname | Gan
given-names | Hin Hark
surname | Schlick
given-names | Tamar
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC2998870.nxml
surname | Tominaga
given-names | Daisuke
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC3045047.nxml
surname | Schmidberger
given-names | Markus
surname | Lennert
given-names | Sabine
surname | Mansmann
given-names | Ulrich
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC3342025.nxml
surname | Förster
given-names | Frank
surname | Beisser
given-names | Daniela
surname | Grohme
given-names | Markus A.
surname | Liang
given-names | Chunguang
surname | Mali
given-names | Brahim
surname | Siegl
given-names | Alexander Matthias
surname | Engelmann
given-names | Julia C.
surname | Shkumatov
given-names | Alexander V.
surname | Schokraie
given-names | Elham
surname | Müller
given-names | Tobias
surname | Schnölzer
given-names | Martina
surname | Schill
given-names | Ralph O.
surname | Frohme
given-names | Marcus
surname | Dandekar
given-names | Thomas
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC3348925.nxml
surname | Krueger
given-names | Beate
surname | Friedrich
given-names | Torben
surname | Förster
given-names | Frank
surname | Bernhardt
given-names | Jörg
surname | Gross
given-names | Roy
surname | Dandekar
given-names | Thomas
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC3388742.nxml
surname | Ullah
given-names | Mohammad Ohid
surname | Müller
given-names | Michael
surname | Hooiveld
given-names | Guido J.E.J.
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC3448498.nxml
surname | Ellis
given-names | John
surname | Goodswen
given-names | Stephen
surname | Kennedy
given-names | Paul J
surname | Bush
given-names | Stephen
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC3547501.nxml
surname | Beta
given-names | Madhu
surname | Venkatesan
given-names | Nalini
surname | Vasudevan
given-names | Madavan
surname | Vetrivel
given-names | Umashankar
surname | Khetan
given-names | Vikas
surname | Krishnakumar
given-names | Subramanian
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC3583267.nxml
surname | Percudani
given-names | Riccardo
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC3596057.nxml
surname | Gebel
given-names | Stephan
surname | Lichtner
given-names | Rosemarie B.
surname | Frushour
given-names | Brian
surname | Schlage
given-names | Walter K.
surname | Hoang
given-names | Vy
surname | Talikka
given-names | Marja
surname | Hengstermann
given-names | Arnd
surname | Mathis
given-names | Carole
surname | Veljkovic
given-names | Emilija
surname | Peck
given-names | Michael
surname | Peitsch
given-names | Manuel C.
surname | Deehan
given-names | Renee
surname | Hoeng
given-names | Julia
surname | Westra
given-names | Jurjen W.
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC3700945.nxml
surname | Westra
given-names | Jurjen W.
surname | Schlage
given-names | Walter K.
surname | Hengstermann
given-names | Arnd
surname | Gebel
given-names | Stephan
surname | Mathis
given-names | Carole
surname | Thomson
given-names | Ty
surname | Wong
given-names | Ben
surname | Hoang
given-names | Vy
surname | Veljkovic
given-names | Emilija
surname | Peck
given-names | Michael
surname | Lichtner
given-names | Rosemarie B.
surname | Weisensee
given-names | Dirk
surname | Talikka
given-names | Marja
surname | Deehan
given-names | Renee
surname | Hoeng
given-names | Julia
surname | Peitsch
given-names | Manuel C.
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC3738383.nxml
surname | Moisá
given-names | Sonia J.
surname | Shike
given-names | Daniel W.
surname | Graugnard
given-names | Daniel E.
surname | Rodriguez-Zas
given-names | Sandra L.
surname | Everts
given-names | Robin E.
surname | Lewin
given-names | Harris A.
surname | Faulkner
given-names | Dan B.
surname | Berger
given-names | Larry L.
surname | Loor
given-names | Juan J.
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC3785389.nxml
surname | Nalini
given-names | Venkatesan
surname | Segu
given-names | Ramya
surname | Deepa
given-names | Perinkulam Ravi
surname | Khetan
given-names | Vikas
surname | Vasudevan
given-names | Madavan
surname | Krishnakumar
given-names | Subramanian
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC3855043.nxml
surname | Satoh
given-names | Jun-ichi
surname | Kawana
given-names | Natsuki
surname | Yamamoto
given-names | Yoji
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC3929428.nxml
surname | Naseem
given-names | Muhammad
surname | Kunz
given-names | Meik
surname | Dandekar
given-names | Thomas
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC4069038.nxml
surname | Hamoy
given-names | Igor G
surname | Ribeiro-dos-Santos
given-names | André M
surname | Alvarez
given-names | Luiz
surname | Barbosa
given-names | Silvanira
surname | Silva
given-names | Artur
surname | Santos
given-names | Sidney
surname | Gusmão
given-names | Leonor
surname | Ribeiro-dos-Santos
given-names | Ândrea
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC4159370.nxml
surname | Venkatesan
given-names | Nalini
surname | Deepa
given-names | PR
surname | Vasudevan
given-names | Madavan
surname | Khetan
given-names | Vikas
surname | Reddy
given-names | Ashwin M
surname | Krishnakumar
given-names | Subramanian
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC4196881.nxml
surname | Reyes-Herrera
given-names | Paula H
surname | Ficarra
given-names | Elisa
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC4325683.nxml
surname | Simm
given-names | Stefan
surname | Fragkostefanakis
given-names | Sotirios
surname | Paul
given-names | Puneet
surname | Keller
given-names | Mario
surname | Einloft
given-names | Jens
surname | Scharf
given-names | Klaus-Dieter
surname | Schleiff
given-names | Enrico
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC4485834.nxml
surname | Darnet
given-names | Sylvain
surname | Moreira
given-names | Fabiano C
surname | Hamoy
given-names | Igor G
surname | Burbano
given-names | Rommel
surname | Khayat
given-names | André
surname | Cruz
given-names | Aline
surname | Magalhães
given-names | Leandro
surname | Silva
given-names | Artur
surname | Santos
given-names | Sidney
surname | Demachki
given-names | Samia
surname | Assumpção
given-names | Monica
surname | Assumpção
given-names | Paulo
surname | Ribeiro-dos-Santos
given-names | Ândrea
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC4496000.nxml
surname | Assumpção
given-names | Monica B
surname | Moreira
given-names | Fabiano C
surname | Hamoy
given-names | Igor G
surname | Magalhães
given-names | Leandro
surname | Vidal
given-names | Amanda
surname | Pereira
given-names | Adenilson
surname | Burbano
given-names | Rommel
surname | Khayat
given-names | André
surname | Silva
given-names | Artur
surname | Santos
given-names | Sidney
surname | Demachki
given-names | Samia
surname | Ribeiro-dos-Santos
given-names | Ândrea
surname | Assumpção
given-names | Paulo
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC4636112.nxml
surname | Feltus
given-names | Frank A.
surname | Breen
given-names | Joseph R.
suffix | III
surname | Deng
given-names | Juan
surname | Izard
given-names | Ryan S.
surname | Konger
given-names | Christopher A.
surname | Ligon
given-names | Walter B.
suffix | III
surname | Preuss
given-names | Don
surname | Wang
given-names | Kuang-Ching
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC4662426.nxml
surname | LoVerso
given-names | Peter R.
surname | Wachter
given-names | Christopher M.
surname | Cui
given-names | Feng
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC4725608.nxml
surname | Miller
given-names | Laura C.
surname | Bayles
given-names | Darrell O.
surname | Zanella
given-names | Eraldo L.
surname | Lager
given-names | Kelly M.
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC4856181.nxml
surname | Naulaerts
given-names | Stefan
surname | Moens
given-names | Sandy
surname | Engelen
given-names | Kristof
surname | Berghe
given-names | Wim Vanden
surname | Goethals
given-names | Bart
surname | Laukens
given-names | Kris
surname | Meysman
given-names | Pieter
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC4886696.nxml
surname | Bollmann
given-names | Stephanie
surname | Bu
given-names | Dengpan
surname | Wang
given-names | Jiaqi
surname | Bionaz
given-names | Massimo
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC4972127.nxml
surname | Poehlman
given-names | William L.
surname | Rynge
given-names | Mats
surname | Branton
given-names | Chris
surname | Balamurugan
given-names | D.
surname | Feltus
given-names | Frank A.
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC5038615.nxml
surname | Simm
given-names | Stefan
surname | Scharf
given-names | Klaus-Dieter
surname | Jegadeesan
given-names | Sridharan
surname | Chiusano
given-names | Maria Luisa
surname | Firon
given-names | Nurit
surname | Schleiff
given-names | Enrico
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC5135121.nxml
surname | Shrimankar
given-names | D. D.
surname | Sathe
given-names | S. R.
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC5138066.nxml
surname | Han
given-names | Yixing
surname | He
given-names | Ximiao
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC5390918.nxml
surname | Dumancas
given-names | Gerard G
surname | Adrianto
given-names | Indra
surname | Bello
given-names | Ghalib
surname | Dozmorov
given-names | Mikhail
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC5390926.nxml
surname | Devi
given-names | Kamalakshi
surname | Patar
given-names | Lochana
surname | Modi
given-names | Mahendra K
surname | Sen
given-names | Priyabrata
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC5402704.nxml
surname | Filho
given-names | Jaire Alves Ferreira
surname | de Brito
given-names | Lucas Soares
surname | Leão
given-names | André Pereira
surname | Alves
given-names | Alexandre Alonso
surname | Formighieri
given-names | Eduardo Fernandes
surname | Júnior
given-names | Manoel Teixeira Souza
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC5414586.nxml
surname | Agrawal
given-names | A
surname | Khan
given-names | MJ
surname | Graugnard
given-names | DE
surname | Vailati-Riboni
given-names | M
surname | Rodriguez-Zas
given-names | SL
surname | Osorio
given-names | JS
surname | Loor
given-names | JJ
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC5753922.nxml
surname | Arenas
given-names | Ailan F
surname | Salcedo
given-names | Gladys E
surname | Gomez-Marin
given-names | Jorge E
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC5824897.nxml
surname | Zeng
given-names | Irene Sui Lan
surname | Lumley
given-names | Thomas
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC6291885.nxml
surname | Goncalves
given-names | Tassia M
surname | Southey
given-names | Bruce R
surname | Rodriguez-Zas
given-names | Sandra L
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC6376532.nxml
surname | Guerra
given-names | Aníbal
surname | Lotero
given-names | Jaime
surname | Aedo
given-names | José Édinson
surname | Isaza
given-names | Sebastián
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC6456846.nxml
surname | Zhao
given-names | Haitao
surname | Duan
given-names | Zhong-Hui
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC6572328.nxml
surname | Mills
given-names | Nicholas
surname | Bensman
given-names | Ethan M
surname | Poehlman
given-names | William L
surname | Ligon
given-names | Walter B
suffix | III
surname | Feltus
given-names | F Alex
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC6614939.nxml
surname | Osabe
given-names | Takayuki
surname | Shimizu
given-names | Kentaro
surname | Kadota
given-names | Koji
publication | /u/scratch/n/nikodm/pmcOA/Bioinform_Biol_Insights/PMC6628516.nxml
surname | Mulaudzi-Masuku
given-names | Takalani
surname | Ikebudu
given-names | Vivian
surname | Muthevhuli
given-names | Mpho
surname | Faro
given-names | Andrew
surname | Gehring
given-names | Christoph A
surname | Iwuoha
given-names | Emmanuel
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1090557.nxml
surname | Gibbs
given-names | Mark J
surname | Armstrong
given-names | John S
surname | Gibbs
given-names | Adrian J
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1173086.nxml
surname | Larsson
given-names | Ola
surname | Wahlestedt
given-names | Claes
surname | Timmons
given-names | James A
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1177925.nxml
surname | Jiang
given-names | Taijiao
surname | Keating
given-names | Amy E
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1187872.nxml
surname | Rouchka
given-names | Eric C
surname | Khalyfa
given-names | Abdelnaby
surname | Cooper
given-names | Nigel GF
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1189357.nxml
surname | Lu
given-names | Jun
surname | Tomfohr
given-names | John K
surname | Kepler
given-names | Thomas B
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1199583.nxml
surname | Broberg
given-names | Per
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1261161.nxml
surname | Baty
given-names | Florent
surname | Bihl
given-names | Michel P
surname | Perrière
given-names | Guy
surname | Culhane
given-names | Aedín C
surname | Brutsche
given-names | Martin H
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC126253.nxml
surname | Welle
given-names | Stephen
surname | Brooks
given-names | Andrew I
surname | Thornton
given-names | Charles A
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC130042.nxml
surname | Gieseg
given-names | Michael A
surname | Cody
given-names | Theresa
surname | Man
given-names | Michael Z
surname | Madore
given-names | Steven J
surname | Rubin
given-names | Mark A
surname | Kaldjian
given-names | Eric P
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1361777.nxml
surname | Hu
given-names | Zihua
surname | Willsky
given-names | Gail R
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1368999.nxml
surname | Magnusson
given-names | Nils E
surname | Cardozo
given-names | Alessandra K
surname | Kruhøffer
given-names | Mogens
surname | Eizirik
given-names | Decio L
surname | Ørntoft
given-names | Torben F
surname | Jensen
given-names | Jens L
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1382258.nxml
surname | Ishwaran
given-names | Hemant
surname | Rao
given-names | J Sunil
surname | Kogalur
given-names | Udaya B
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1395338.nxml
surname | Page
given-names | Grier P
surname | Edwards
given-names | Jode W
surname | Gadbury
given-names | Gary L
surname | Yelisetti
given-names | Prashanth
surname | Wang
given-names | Jelai
surname | Trivedi
given-names | Prinal
surname | Allison
given-names | David B
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1395339.nxml
surname | Yuan
given-names | Joshua S
surname | Reed
given-names | Ann
surname | Chen
given-names | Feng
surname | Stewart
given-names | C Neal
suffix | Jr
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1397872.nxml
surname | Price
given-names | Morgan N
surname | Arkin
given-names | Adam P
surname | Alm
given-names | Eric J
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1409797.nxml
surname | McClintick
given-names | Jeanette N
surname | Edenberg
given-names | Howard J
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1420334.nxml
surname | Inaoka
given-names | Hidenori
surname | Fukuoka
given-names | Yutaka
surname | Kohane
given-names | Isaac S
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1431565.nxml
surname | Millenaar
given-names | Frank F
surname | Okyere
given-names | John
surname | May
given-names | Sean T
surname | van Zanten
given-names | Martijn
surname | Voesenek
given-names | Laurentius ACJ
surname | Peeters
given-names | Anton JM
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1440873.nxml
surname | Vêncio
given-names | Ricardo ZN
surname | Koide
given-names | Tie
surname | Gomes
given-names | Suely L
surname | de B Pereira
given-names | Carlos A
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1450302.nxml
surname | Greer
given-names | Kevin A
surname | McReynolds
given-names | Matthew R
surname | Brooks
given-names | Heddwen L
surname | Hoying
given-names | James B
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1450310.nxml
surname | Vinciotti
given-names | Veronica
surname | Liu
given-names | Xiaohui
surname | Turk
given-names | Rolf
surname | de Meijer
given-names | Emile J
surname | 't Hoen
given-names | Peter AC
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1479841.nxml
surname | Albers
given-names | Casper J
surname | Jansen
given-names | Ritsert C
surname | Kok
given-names | Jan
surname | Kuipers
given-names | Oscar P
surname | van Hijum
given-names | Sacha AFT
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1481623.nxml
surname | Verhaak
given-names | Roel GW
surname | Staal
given-names | Frank JT
surname | Valk
given-names | Peter JM
surname | Lowenberg
given-names | Bob
surname | Reinders
given-names | Marcel JT
surname | de Ridder
given-names | Dick
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1488876.nxml
surname | Filopon
given-names | Didier
surname | Mérieau
given-names | Annabelle
surname | Bernot
given-names | Gilles
surname | Comet
given-names | Jean-Paul
surname | LeBerre
given-names | Rozenne
surname | Guery
given-names | Benoit
surname | Polack
given-names | Benoit
surname | Guespin-Michel
given-names | Janine
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1523219.nxml
surname | van Haaften
given-names | Rachel IM
surname | Schroen
given-names | Blanche
surname | Janssen
given-names | Ben JA
surname | van Erk
given-names | Arie
surname | Debets
given-names | Jacques JM
surname | Smeets
given-names | Hubert JM
surname | Smits
given-names | Jos FM
surname | van den Wijngaard
given-names | Arthur
surname | Pinto
given-names | Yigal M
surname | Evelo
given-names | Chris TA
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1524996.nxml
surname | Jones
given-names | Lesley
surname | Goldstein
given-names | Darlene R
surname | Hughes
given-names | Gareth
surname | Strand
given-names | Andrew D
surname | Collin
given-names | Francois
surname | Dunnett
given-names | Stephen B
surname | Kooperberg
given-names | Charles
surname | Aragaki
given-names | Aaron
surname | Olson
given-names | James M
surname | Augood
given-names | Sarah J
surname | Faull
given-names | Richard LM
surname | Luthi-Carter
given-names | Ruth
surname | Moskvina
given-names | Valentina
surname | Hodges
given-names | Angela K
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1544358.nxml
surname | Jeffery
given-names | Ian B
surname | Higgins
given-names | Desmond G
surname | Culhane
given-names | Aedín C
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1557674.nxml
surname | Frigyesi
given-names | Attila
surname | Veerla
given-names | Srinivas
surname | Lindgren
given-names | David
surname | Höglund
given-names | Mattias
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1557675.nxml
surname | Natarajan
given-names | Jeyakumar
surname | Berrar
given-names | Daniel
surname | Dubitzky
given-names | Werner
surname | Hack
given-names | Catherine
surname | Zhang
given-names | Yonghong
surname | DeSesa
given-names | Catherine
surname | Van Brocklyn
given-names | James R
surname | Bremer
given-names | Eric G
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1564156.nxml
surname | Chiu
given-names | Kuo Ping
surname | Wong
given-names | Chee-Hong
surname | Chen
given-names | Qiongyu
surname | Ariyaratne
given-names | Pramila
surname | Ooi
given-names | Hong Sain
surname | Wei
given-names | Chia-Lin
surname | Sung
given-names | Wing-Kin Ken
surname | Ruan
given-names | Yijun
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1569879.nxml
surname | Seo
given-names | Jinwook
surname | Hoffman
given-names | Eric P
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1586028.nxml
surname | Kim
given-names | Seon-Young
surname | Kim
given-names | YongSung
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1592126.nxml
surname | Paananen
given-names | Jussi
surname | Storvik
given-names | Markus
surname | Wong
given-names | Garry
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1594581.nxml
surname | Baty
given-names | Florent
surname | Facompré
given-names | Michaël
surname | Wiegand
given-names | Jan
surname | Schwager
given-names | Joseph
surname | Brutsche
given-names | Martin H
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1599760.nxml
surname | Dolan
given-names | Mary E
surname | Holden
given-names | Constance C
surname | Beard
given-names | M Kate
surname | Bult
given-names | Carol J
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1615881.nxml
surname | Jacques
given-names | Pierre-Étienne
surname | Rodrigue
given-names | Sébastien
surname | Gaudreau
given-names | Luc
surname | Goulet
given-names | Jean
surname | Brzezinski
given-names | Ryszard
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1635568.nxml
surname | Campagne
given-names | Fabien
surname | Skrabanek
given-names | Lucy
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1637038.nxml
surname | Garge
given-names | Nikhil R
surname | Page
given-names | Grier P
surname | Sprague
given-names | Alan P
surname | Gorman
given-names | Bernard S
surname | Allison
given-names | David B
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1643839.nxml
surname | Farkas
given-names | Illés J
surname | Wu
given-names | Chuang
surname | Chennubhotla
given-names | Chakra
surname | Bahar
given-names | Ivet
surname | Oltvai
given-names | Zoltán N
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC165661.nxml
surname | Mwangi
given-names | Michael M
surname | Siggia
given-names | Eric D
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1676023.nxml
surname | Li
given-names | Yi-Ju
surname | Xu
given-names | Puting
surname | Qin
given-names | Xuejun
surname | Schmechel
given-names | Donald E
surname | Hulette
given-names | Christine M
surname | Haines
given-names | Jonathan L
surname | Pericak-Vance
given-names | Margaret A
surname | Gilbert
given-names | John R
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC1683559.nxml
surname | Iqbal
